City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,73.42,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Marsh Harbour,BS,59.86,broken clouds,26.5412,-77.0636,Abaco Beach Resort
11,Victoria,HK,62.04,broken clouds,22.2855,114.1577,Mini Hotel Central
12,Tocopilla,CL,66.61,few clouds,-22.092,-70.1979,Hotel Galvarino
20,Bluff,NZ,59.99,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Qandala,SO,71.8,overcast clouds,11.472,49.8728,
26,Tuatapere,NZ,67.73,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
29,Nishihara,JP,68.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
36,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Chadiza,ZM,64.85,light rain,-14.0678,32.4392,Sankhani Guest House
43,Mataura,NZ,58.23,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Codrington,AU,74.86,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
50,Portovelo,EC,69.21,light rain,-3.7167,-79.6167,"Hotel ""Curipamba"""
51,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
53,Lagoa,PT,58.14,clear sky,39.05,-27.9833,Casa Das Faias
61,Lampa,CL,66.63,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
62,Praya,CV,68.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
64,Canutama,BR,71.94,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
69,Tombouctou,ML,68.14,broken clouds,20.0,-3.0,
73,Sawakin,SD,69.15,overcast clouds,19.1059,37.3321,فندق الدويم
74,Hilo,US,74.93,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Port Alfred,ZA,68.11,few clouds,-33.5906,26.891,The Halyards Hotel
81,Cape Town,ZA,67.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
