City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Georgetown,5.4112,100.3354,85.93,81,20,1.01,MY,2022-01-30 02:53:26,haze
1,Puerto Ayora,-0.7393,-90.3518,73.42,85,74,5.93,EC,2022-01-30 02:56:54,broken clouds
2,Bethel,41.3712,-73.414,15.57,55,100,5.01,US,2022-01-30 03:02:18,overcast clouds
3,Iqaluit,63.7506,-68.5145,-13.27,62,40,8.99,CA,2022-01-30 03:00:15,scattered clouds
4,Butaritari,3.0707,172.7902,82.49,72,52,17.83,KI,2022-01-30 03:05:51,broken clouds
5,Saint-Augustin,51.226,-58.6502,10.45,94,100,28.41,CA,2022-01-30 03:04:07,heavy snow
6,Marsh Harbour,26.5412,-77.0636,59.86,59,57,23.0,BS,2022-01-30 03:00:03,broken clouds
7,Tiarei,-17.5333,-149.3333,80.62,74,70,7.52,PF,2022-01-30 03:04:08,broken clouds
8,Tukrah,32.5341,20.5791,52.56,73,100,31.25,LY,2022-01-30 02:59:41,overcast clouds
9,Kenora,49.8167,-94.4337,10.38,100,69,4.25,CA,2022-01-30 03:03:20,broken clouds
10,Kodiak,57.79,-152.4072,24.66,79,9,9.55,US,2022-01-30 02:54:00,clear sky
11,Victoria,22.2855,114.1577,62.04,70,59,1.01,HK,2022-01-30 03:03:58,broken clouds
12,Tocopilla,-22.092,-70.1979,66.61,78,23,1.19,CL,2022-01-30 03:04:10,few clouds
13,Rikitea,-23.1203,-134.9692,76.87,69,100,7.52,PF,2022-01-30 03:04:10,overcast clouds
14,Brae,60.3964,-1.353,39.11,62,66,23.89,GB,2022-01-30 03:04:11,broken clouds
15,Charters Towers,-20.1,146.2667,88.05,40,6,7.52,AU,2022-01-30 03:04:11,clear sky
16,Berlevag,70.8578,29.0864,21.79,79,84,4.43,NO,2022-01-30 03:04:12,broken clouds
17,Kapaa,22.0752,-159.319,79.12,69,0,1.01,US,2022-01-30 03:04:12,clear sky
18,Bandarbeyla,9.4942,50.8122,75.36,71,100,20.24,SO,2022-01-30 03:01:00,overcast clouds
19,Namatanai,-3.6667,152.4333,83.08,76,100,5.35,PG,2022-01-30 03:04:13,light rain
20,Bluff,-46.6,168.3333,59.99,86,100,4.85,NZ,2022-01-30 03:04:14,overcast clouds
21,Klaksvik,62.2266,-6.589,31.12,61,100,10.58,FO,2022-01-30 03:01:03,overcast clouds
22,Qandala,11.472,49.8728,71.8,69,88,4.83,SO,2022-01-30 03:04:15,overcast clouds
23,Aklavik,68.2191,-135.0107,-19.48,87,100,5.77,CA,2022-01-30 03:04:15,overcast clouds
24,Avarua,-21.2078,-159.775,82.45,74,20,6.91,CK,2022-01-30 03:00:59,few clouds
25,Babu,24.4167,111.5167,47.12,68,43,5.28,CN,2022-01-30 03:04:15,scattered clouds
26,Tuatapere,-46.1333,167.6833,67.73,64,100,2.26,NZ,2022-01-30 02:58:08,overcast clouds
27,Vanavara,60.34,102.2797,-0.87,95,100,4.27,RU,2022-01-30 03:04:16,overcast clouds
28,Mana,5.6592,-53.7767,75.33,87,9,7.16,GF,2022-01-30 02:59:26,clear sky
29,Nishihara,26.1842,127.7558,68.05,80,75,13.8,JP,2022-01-30 03:04:17,broken clouds
30,Hasaki,35.7333,140.8333,48.29,50,74,14.7,JP,2022-01-30 02:56:56,broken clouds
31,Kavieng,-2.5744,150.7967,82.04,77,100,4.65,PG,2022-01-30 03:04:17,moderate rain
32,Coihaique,-45.5752,-72.0662,45.39,93,78,7.85,CL,2022-01-30 03:01:38,broken clouds
33,Saint Anthony,45.0205,-93.218,22.6,75,0,5.01,US,2022-01-30 03:01:10,clear sky
34,Bilibino,68.0546,166.4372,-0.26,88,100,2.98,RU,2022-01-30 03:02:11,overcast clouds
35,Hobart,-42.8794,147.3294,81.01,51,20,1.01,AU,2022-01-30 03:02:30,few clouds
36,Cabo San Lucas,22.8909,-109.9124,72.52,69,4,4.0,MX,2022-01-30 02:58:13,clear sky
37,Chadiza,-14.0678,32.4392,64.85,98,100,1.28,ZM,2022-01-30 03:04:18,light rain
38,Leningradskiy,69.3833,178.4167,-10.55,91,68,4.18,RU,2022-01-30 03:06:06,broken clouds
39,Provideniya,64.3833,-173.3,4.08,84,20,5.44,RU,2022-01-30 03:04:19,few clouds
40,Kupang,-10.1667,123.5833,84.78,79,75,11.5,ID,2022-01-30 03:04:19,light rain
41,Cabimas,10.3883,-71.4399,78.04,80,75,16.4,VE,2022-01-30 03:04:19,broken clouds
42,Punta Arenas,-53.15,-70.9167,48.11,66,0,10.36,CL,2022-01-30 03:04:20,clear sky
43,Mataura,-46.1927,168.8643,58.23,95,100,2.55,NZ,2022-01-30 03:04:20,overcast clouds
44,Codrington,-38.2667,141.9667,74.86,67,95,10.92,AU,2022-01-30 03:05:22,overcast clouds
45,Paamiut,61.994,-49.6678,13.42,65,100,11.54,GL,2022-01-30 03:07:11,overcast clouds
46,Baykit,61.67,96.37,-10.98,100,100,1.45,RU,2022-01-30 03:05:23,overcast clouds
